Class,Species,Order,Mass,Tb,Tlc,BMR,Cmin,BMR.res,Cmin.res,A,I
Mammals,Suricata suricatta,Carnivora,850,36.3,30,310.3,49.25,-0.17,0.08,0.25,0.31
Mammals,Vulpes macrotis,Carnivora,1868,38,22,1143.2,71.45,0.15,0.05,-0.1,0
Mammals,Vulpes zerda,Carnivora,44.1,32,23.4,23.5,2.73,-0.36,-0.45,-0.09,1
Mammals,Anoura caudifer,Chiroptera,11.5,36.3,26,42.7,4.15,0.32,0.06,-0.26,0
Mammals,Anoura latidens,Chiroptera,13.6,38.12,34.7,36.9,10.79,0.2,0.43,0.23,1
Mammals,Artibeus concolor,Chiroptera,19.7,35,29,39.8,6.63,0.12,0.13,0.01,1
Mammals,Artibeus jamaicensis,Chiroptera,45.2,36,25,76.8,6.98,0.15,-0.05,-0.2,0.26
Mammals,Artibeus lituratus,Chiroptera,70.1,36.7,25,108,9.23,0.16,-0.04,-0.2,0.2
Mammals,Carollia perspicillata,Chiroptera,14.9,36.6,29,43.1,5.67,0.24,0.13,-0.11,0
Mammals,Chrotopterus auritus,Chiroptera,96.1,37.2,28,141.3,15.36,0.17,0.11,-0.06,0
Mammals,Cynopterus brachyotis,Chiroptera,37.4,36.5,30,47.5,7.31,0,0.01,0.01,1
Mammals,Desmodus rotundus,Chiroptera,29.4,35,29,34.7,5.78,-0.06,-0.03,0.03,0
Mammals,Diaemus youngi,Chiroptera,36.6,33,25,37.3,4.66,-0.1,-0.18,-0.08,1
Mammals,Diphylla ecaudata,Chiroptera,27.8,33,26,38.6,5.51,0,-0.04,-0.04,1
Mammals,Dobsonia anderseni,Chiroptera,241.4,36.4,28,174,20.71,-0.03,0.01,0.04,0.24
Mammals,Dobsonia praedatrix,Chiroptera,179.5,37.1,26,142.5,12.84,-0.02,-0.13,-0.11,1
Mammals,Eonycteris spelaea,Chiroptera,51.6,34,26,48,6,-0.1,-0.15,-0.05,1
Mammals,Erophylla bombifrons,Chiroptera,16.1,33,30,17.7,5.9,-0.17,0.13,0.3,0.43
Mammals,Glossophaga longirostris,Chiroptera,13.5,37.5,31.5,26.5,4.42,0.06,0.04,-0.02,0
Mammals,Glossophaga soricina,Chiroptera,6.8,36.5,31.4,17.7,3.47,0.1,0.11,0.01,1
Mammals,Hipposideros galeritus,Chiroptera,8.5,31.9,29,9.4,3.24,-0.24,0.02,0.26,0.09
Mammals,Histiotus velatus,Chiroptera,11.2,32,25,10,1.43,-0.3,-0.4,-0.1,1
Mammals,Leptonycteris curasoae,Chiroptera,24,36,27,34.1,3.79,-0.01,-0.16,-0.15,1
Mammals,Macroderma gigas,Chiroptera,107,35.6,30,94.2,16.82,-0.04,0.12,0.16,0.75
Mammals,Miniopterus schreibersii,Chiroptera,10.91,37.7,32.5,26,5,0.12,0.15,0.03,1
Mammals,Molossus molossus,Chiroptera,15.6,36,32,22.5,5.63,-0.05,0.11,0.16,0.7
