Class,Species,Order,Mass,Tb,Tlc,BMR,Cmin,BMR.res,Cmin.res,A,I
Birds,Gallinula ventralis,Gruiformes,309.2,39.7,20,277.7,14.1,0.01,-0.03,-0.04,0.78
Birds,Gallirallus australis,Gruiformes,813.5,39,30,314.5,34.94,-0.21,0.15,0.36,0.41
Birds,Gallirallus owstoni,Gruiformes,198.8,40.2,29,157.7,14.08,-0.11,0.06,0.17,0.36
Birds,Gallirallus philippensis,Gruiformes,171.7,40.6,28,167.8,13.32,-0.04,0.07,0.11,0.64
Birds,Megacrex inepta,Gruiformes,856.6,38.6,18,230.9,11.21,-0.35,-0.36,-0.01,1
Birds,Porphyrio hochstetteri,Gruiformes,2758.3,39,9,1185,39.5,0.03,-0.07,-0.1,0.7
Birds,Porphyrio porphyrio,Gruiformes,919.3,39.6,14,636.2,24.85,0.07,-0.03,-0.1,0.29
Birds,Porzana cinerea,Gruiformes,47.9,38.9,28,85.1,7.81,0.02,0.12,0.1,1
Birds,Acridotheres cristatellus,Passeriformes,117.7,41.4,25,119.5,7.29,-0.08,-0.11,-0.03,1
Birds,Actitis hypoleucos,Passeriformes,41.1,40.3,23.8,89.9,5.45,0.09,0,-0.09,0.02
Birds,Aethopyga christinae,Passeriformes,5.2,39,27.6,24.9,2.18,0.11,0.06,-0.05,0
Birds,Aethopyga siparaja,Passeriformes,6.8,40.9,26,25.3,1.7,0.04,-0.11,-0.15,0.73
Birds,Amadina fasciata,Passeriformes,17.2,43.1,31,36.8,3.04,-0.06,-0.06,0,1
Birds,Anthreptes collaris,Passeriformes,8.3,38.5,25,29.2,2.16,0.04,-0.05,-0.09,0.55
Birds,Aphelocoma coerulescens,Passeriformes,78.72,41.5,12.4,165.4,5.68,0.17,-0.13,-0.3,0.43
Birds,Astrapia stephaniae,Passeriformes,148.2,41.4,26,277.2,18,0.22,0.23,0.01,1
Birds,Bombycilla garrulus,Passeriformes,64.9,40.5,18,143.6,6.38,0.16,-0.03,-0.19,0.17
Birds,Cardinalis cardinalis,Passeriformes,41,38.9,29,86.5,8.74,0.07,0.2,0.13,1
Birds,Cardinalis sinuatus,Passeriformes,32,38.7,30,67.4,7.75,0.03,0.21,0.18,1
Birds,Carduelis flammea,Passeriformes,14.7,40.48,13,59.8,2.18,0.2,-0.17,-0.37,0.46
Birds,Carduelis pinus,Passeriformes,13.8,38.8,23,59.3,3.75,0.21,0.08,-0.13,0
Birds,Carduelis tristis,Passeriformes,12.8,39.3,23,52.1,3.2,0.18,0.02,-0.16,0
Birds,Carpodacus cassinii,Passeriformes,27.4,39,22,58.3,3.43,0.01,-0.11,-0.12,0.92
Birds,Carpodacus mexicanus,Passeriformes,20.4,39,22,53.5,3.15,0.06,-0.08,-0.14,0.59
Birds,Carpodacus purpureus,Passeriformes,34,39,30,146.3,16.26,0.35,0.52,0.17,1
Birds,Carpodacus roseus,Passeriformes,22.5,40.46,22.5,92.5,5.15,0.27,0.11,-0.16,0
Birds,Cicinnurus magnificus,Passeriformes,82.3,40.4,20,135.8,6.66,0.07,-0.07,-0.14,0.49
Birds,Cicinnurus regius,Passeriformes,54,40.4,20,100.4,4.92,0.06,-0.11,-0.17,0.64
Birds,Cnemophilus loriae,Passeriformes,78.1,38.6,20,113.8,6.12,0.01,-0.09,-0.1,0.9
Birds,Coccothraustes vespertinus,Passeriformes,60,39,16,143.4,6.23,0.18,-0.03,-0.21,0.13
Birds,Coereba flaveola,Passeriformes,10,40.7,25,36.8,2.34,0.09,-0.06,-0.15,0.38
Birds,Corvus corax,Passeriformes,1203,41,1,946.5,23.66,0.16,-0.11,-0.27,0.41
Birds,Cyanerpes cyaneus,Passeriformes,13.5,40.22,25,46.8,3.07,0.11,0,-0.11,0.03
Birds,Cyanocitta cristata,Passeriformes,80.8,40.3,19,143.4,6.73,0.1,-0.06,-0.16,0.37
Birds,Emberiza chrysophrys,Passeriformes,15.94,40.58,25,55.4,3.56,0.14,0.02,-0.12,0
Birds,Emberiza citrinella,Passeriformes,26.8,39.8,25,75,5.07,0.13,0.06,-0.07,0
Birds,Emberiza hortulana,Passeriformes,24.3,39.5,32,71.7,9.56,0.13,0.36,0.23,1
Birds,Emberiza pusilla,Passeriformes,11.3,39.8,20,45.2,2.28,0.15,-0.09,-0.24,0.38
Birds,Emberiza rutila,Passeriformes,15.3,39.5,25,58.3,4.02,0.17,0.09,-0.08,0
Birds,Emberiza spodocephala,Passeriformes,15.1,40.3,20,68.4,3.37,0.25,0.01,-0.24,0
Birds,Epimachus meyeri,Passeriformes,202.7,41,18,316.9,13.78,0.19,0.05,-0.14,0
Birds,Eremalauda dunni,Passeriformes,20.6,40,31.5,47.8,5.62,0.01,0.16,0.15,1
Birds,Eremiornis carteri,Passeriformes,12.3,39.1,30,34.1,3.75,0,0.1,0.1,1
Birds,Eremophila alpestris,Passeriformes,26,42,26,56.6,3.54,0.01,-0.09,-0.1,0.9
Birds,Erythrura gouldiae,Passeriformes,15.5,42.1,31.7,37.4,3.6,-0.02,0.03,0.05,0.63
Birds,Estrilda melpoda,Passeriformes,7.5,43,35,22.5,2.81,-0.04,0.09,0.13,0.69
Birds,Fringilla montifringilla,Passeriformes,21,40.4,25,66,4.29,0.14,0.04,-0.1,0
Birds,Hylophylax naevioides,Passeriformes,16.1,40,30,41.1,4.11,0.01,0.08,0.07,1
Birds,Icterus bullockii,Passeriformes,34,40,27,86.5,6.65,0.12,0.13,0.01,1
Birds,Icterus galbula,Passeriformes,34,39.8,27,86.5,6.76,0.12,0.13,0.01,1
Birds,Lanius collaris,Passeriformes,43.8,40,25,32,2.13,-0.38,-0.42,-0.04,1
Birds,Lanius excubitor,Passeriformes,60,39.73,30,92.7,9.53,-0.01,0.16,0.17,0.94
Birds,Lichenostomus virescens,Passeriformes,25,40,33,51.1,7.3,-0.02,0.24,0.26,0.92
Birds,Lichmera indistincta,Passeriformes,10.1,40.4,30,36.3,3.49,0.09,0.12,0.03,1
Birds,Lonchura fuscans,Passeriformes,9.5,38.9,30,17.2,1.93,-0.22,-0.13,0.09,0
Birds,Lophorina superba,Passeriformes,74.6,40.5,19,124.3,5.78,0.06,-0.11,-0.17,0.64
Birds,Loxia curvirostra,Passeriformes,29.4,39.5,15,87,3.55,0.17,-0.11,-0.28,0.4
Birds,Loxia leucoptera,Passeriformes,29.8,39.5,14,78.4,3.07,0.12,-0.18,-0.3,0.6
Birds,Lullula arborea,Passeriformes,25.5,40,27.6,98.5,7.94,0.26,0.27,0.01,1
Birds,Malurus cyaneus,Passeriformes,8.2,41,26,24.9,1.66,-0.02,-0.16,-0.14,1
Birds,Manacus vitellinus,Passeriformes,15.5,37.9,26,40.2,3.38,0.01,0.01,0,0
Birds,Manucodia chalybatus,Passeriformes,177.2,40.5,20,236.1,11.52,0.1,0,-0.1,0
Birds,Manucodia keraudrenii,Passeriformes,170.7,40.4,25,206,13.38,0.05,0.07,0.02,1
Birds,Nectarinia bifasciata,Passeriformes,6.2,39,24,15.8,1.05,-0.14,-0.3,-0.16,1
Birds,Nectarinia cuprea,Passeriformes,7.1,41,31,25.4,2.54,0.03,0.06,0.03,1
Birds,Nectarinia kilimensis,Passeriformes,16.2,40,25,44.9,2.99,0.05,-0.06,-0.11,0.53
Birds,Nectarinia senegalensis,Passeriformes,13.7,40,30,41.1,4.11,0.05,0.12,0.07,1
Birds,Nectarinia tacazze,Passeriformes,13.5,41.4,25,42.1,2.57,0.07,-0.08,-0.15,0.54
Birds,Nectarinia venusta,Passeriformes,7.6,40,25,25.8,1.72,0.02,-0.13,-0.15,0.87
Birds,Onychognathus morio,Passeriformes,128,39.1,15,221.3,9.18,0.16,-0.03,-0.19,0.14
Birds,Onychognathus tristramii,Passeriformes,123,40.6,21.5,196,10.26,0.12,0.03,-0.09,0
Birds,Padda oryzivora,Passeriformes,24.9,42.5,31,51.1,4.44,-0.02,0.02,0.04,0.51
Birds,Paradisaea raggiana,Passeriformes,215.7,39.7,16,322.7,13.62,0.18,0.03,-0.15,0
Birds,Paradisaea rudolphi,Passeriformes,156.1,40.5,17,262,11.15,0.18,0.01,-0.17,0
Birds,Parotia lawesii,Passeriformes,144.9,39.1,17,206,9.32,0.09,-0.05,-0.14,0.34
Birds,Parotia wahnesi,Passeriformes,164.2,39.7,22,221.8,12.53,0.09,0.05,-0.04,0
Birds,Passer domesticus,Passeriformes,23,38.6,20,63.1,3.39,0.09,-0.08,-0.17,0.47
Birds,Phytotoma rara,Passeriformes,41.6,40.2,22,98.5,5.41,0.12,-0.01,-0.13,0.05
Birds,Pica nuttalli,Passeriformes,151.9,39.4,13.5,252.4,9.75,0.17,-0.04,-0.21,0.18
Birds,Pica pica,Passeriformes,158.9,39.5,21,206,11.14,0.07,0.01,-0.06,0
Birds,Pipra mentalis,Passeriformes,12.3,37.9,26,33.5,2.82,-0.01,-0.02,-0.01,1
Birds,Ptiloris magnificus,Passeriformes,179.4,38.6,22,258.1,15.55,0.13,0.13,0,0
Birds,Pycnonotus sinensis,Passeriformes,25.6,40.3,26.6,66.9,4.88,0.09,0.06,-0.03,0
Birds,Saltator coerulescens,Passeriformes,47,39.4,27,66.9,5.4,-0.08,-0.04,0.04,0
Birds,Saltator orenocensis,Passeriformes,32.7,38.8,27.7,54,4.86,-0.07,0,0.07,0
Birds,Sporophila corvina,Passeriformes,11,39.67,28.9,33.9,3.15,0.03,0.05,0.02,1
Birds,Sturnus sericeus,Passeriformes,64.9,40.5,27.6,153,11.86,0.19,0.24,0.05,1
Birds,Syrmaticus ellioti,Passeriformes,388.25,40.47,23,504.8,28.9,0.21,0.23,0.02,1
Birds,Taeniopygia guttata,Passeriformes,11.7,39.8,30,35.4,3.61,0.03,0.1,0.07,1
Birds,Thryothorus ludovicianus,Passeriformes,14.9,39.4,27,61.7,4.98,0.21,0.18,-0.03,0
Birds,Zonotrichia leucophrys,Passeriformes,28.6,41,23,66,3.67,0.05,-0.09,-0.14,0.65
Birds,Zosterops erythropleurus,Passeriformes,9.16,40.58,25,40.6,2.61,0.16,0.01,-0.15,0
Birds,Zosterops lateralis,Passeriformes,11.8,40.3,29,27.7,2.45,-0.08,-0.07,0.01,0
Birds,Anhinga anhinga,Pelecaniformes,1040,39.7,26,549.2,40.09,-0.03,0.15,0.18,0.83
Birds,Phalacrocorax auritus,Pelecaniformes,1330,39.5,17.5,945,42.95,0.13,0.13,0,0
Birds,Aulacorhynchus prasinus,Piciformes,174.7,38.1,23,142.9,9.46,-0.12,-0.08,0.04,0
Birds,Aulacorhynchus sulcatus,Piciformes,131.7,38.8,23,116.6,7.38,-0.13,-0.13,0,0
Birds,Pteroglossus aracari,Piciformes,200.7,40.9,29,153,12.86,-0.13,0.02,0.15,0.14
Birds,Ramphastos dicolorus,Piciformes,328.9,39.2,20,217.5,11.33,-0.11,-0.14,-0.03,1
Birds,Ramphastos toco,Piciformes,582,39.1,17,416.8,18.86,0.01,-0.05,-0.06,0.83
Birds,Ramphastos tucanus,Piciformes,420.3,39.6,25,294,20.14,-0.05,0.05,0.1,0.51
Birds,Selenidera maculirostris,Piciformes,130.5,38.6,24,186.4,12.77,0.08,0.11,0.03,1
Birds,Podiceps nigricollis,Podicipediformes,317,39.6,15,368.5,14.98,0.13,-0.01,-0.14,0.09
Birds,Fulmarus glacialis,Procellariiformes,651,39.9,9,622.4,20.14,0.15,-0.04,-0.19,0.23
Birds,Oceanites oceanicus,Procellariiformes,42.2,39.7,15,82.2,3.33,0.04,-0.22,-0.26,0.85
Birds,Puffinus pacificus,Procellariiformes,367,39.3,23,400.6,24.58,0.12,0.17,0.05,1
Birds,Amazona viridigenalis,Psittaciformes,341,41.1,26.5,344.2,23.58,0.08,0.17,0.09,1
Birds,Bolborhynchus lineola,Psittaciformes,55.7,40.4,28,107.1,8.64,0.08,0.13,0.05,1
Birds,Cacatua roseicapilla,Psittaciformes,271,39,22,240.9,14.17,-0.01,0,0.01,0
Birds,Cyanoramphus auriceps,Psittaciformes,52.9,38.1,22,84.6,5.25,-0.01,-0.07,-0.06,1
Birds,Cyanoramphus novaezelandiae,Psittaciformes,56.1,37.9,22,90.3,5.68,0,-0.05,-0.05,1
Birds,Cyanoramphus unicolor,Psittaciformes,129.4,40.2,18,185.9,8.37,0.08,-0.07,-0.15,0.46
Birds,Neophema elegans,Psittaciformes,42.02,40,21.2,100.4,5.34,0.13,-0.01,-0.14,0.1
Birds,Neophema pulchella,Psittaciformes,40,40,28.3,94.2,8.05,0.11,0.17,0.06,1
Birds,Neophema splendida,Psittaciformes,40.86,40,26,90.8,6.49,0.09,0.08,-0.01,0
Birds,Nestor meridionalis,Psittaciformes,369.3,39.7,15,368.5,14.92,0.08,-0.05,-0.13,0.38
Birds,Nestor notabilis,Psittaciformes,836.9,39.5,5,763.9,22.14,0.17,-0.06,-0.23,0.26
Birds,Aptenodytes patagonicus,Sphenisciformes,11080,37.5,-5,3760.5,88.48,0.14,-0.03,-0.17,0.16
Birds,Spheniscus humboldti,Sphenisciformes,3870,39,2,1631.9,44.11,0.07,-0.1,-0.17,0.58
Birds,Aegolius acadicus,Strigiformes,118.1,39,24,117.1,7.81,-0.09,-0.08,0.01,0
Birds,Aegolius funereus,Strigiformes,130,39.4,10,194.6,6.62,0.1,-0.17,-0.27,0.63
Birds,Athene cunicularia,Strigiformes,146.7,38,25,133.8,10.29,-0.1,-0.01,0.09,0
Birds,Bubo virginianus,Strigiformes,1000,39.9,20.3,746.7,38.1,0.11,0.14,0.03,1
Birds,Glaucidium gnoma,Strigiformes,52,39,27,71.7,5.98,-0.08,-0.01,0.07,0
Birds,Megascops asio,Strigiformes,141.5,39,26,85.1,6.55,-0.28,-0.19,0.09,0
Birds,Megascops trichopsis,Strigiformes,119,37,27,79.3,7.93,-0.27,-0.07,0.2,0
Birds,Micrathene whitneyi,Strigiformes,45,39,30,43.5,4.83,-0.25,-0.07,0.18,0
Birds,Otus leucotis,Strigiformes,221.1,38.9,20,126.7,6.7,-0.24,-0.28,-0.04,1
Birds,Strix occidentalis,Strigiformes,571,38.5,17,460.3,21.41,0.06,0.01,-0.05,0
Birds,Tyto alba,Strigiformes,533.2,37.8,22.5,308.8,20.18,-0.1,0,0.1,0.01
Birds,Archilochus alexandri,Trochiliformes,3.3,40,27,8.1,0.62,-0.25,-0.39,-0.14,1
Birds,Calypte anna,Trochiliformes,4.5,42,33,12,1.33,-0.17,-0.12,0.05,0
Birds,Patagona gigas,Trochiliformes,19.1,39,27,49.2,4.1,0.04,0.04,0,1
Birds,Selasphorus rufus,Trochiliformes,3.8,40,29,13.3,1.21,-0.08,-0.13,-0.05,1
Birds,Selasphorus sasin,Trochiliformes,3.7,40,30,11.5,1.15,-0.13,-0.14,-0.01,1
Birds,Stellula calliope,Trochiliformes,3,40,36,9.9,2.48,-0.14,0.23,0.37,0.63
Birds,Turnix suscitator,Turniciformes,58.1,39,33,66.4,11.07,-0.14,0.23,0.37,0.62
