Class,Species,Mass,Tb,Tlc,BMR,Species.Map,Longitude,Latitude,MeanTemp,MaxTemp,MinTemp,Migration
Birds,Goura_cristata,2313.4,40.9,19,734.2,Goura_cristata,132.4896933,-2.41723517,25.13594513,27.65427856,22.53437347,Resident
Birds,Gymnophaps_albertisii,241.6,39.2,22,162.5,Gymnophaps_albertisii,141.6188933,-4.88870671,21.83852539,24.80098877,18.9107193,Resident
Birds,Hemiphaga_novaeseelandiae,435.6,40.4,20,324.1,Hemiphaga_novaeseelandiae,172.5814276,-41.80370785,10.09093704,17.87727203,3.08679657,Resident
Birds,Leucosarcia_melanoleuca,468,40.7,24,287.8,Leucosarcia_melanoleuca,150.0790952,-30.43981239,16.95951843,26.73464966,6.631887054,Resident
Birds,Oena_capensis,36,39,32,42.1,Oena_capensis,23.97334157,0.78818336,24.37083282,34.88068542,12.77160568,Short Migrants
Birds,Ptilinopus_melanospilus,98,38.9,30,84.1,Ptilinopus_melanospilus,119.0644728,-2.04796085,24.84422913,27.87137756,22.09373169,Resident
Birds,Ptilinopus_perlatus,196,39.5,24,182.6,Ptilinopus_perlatus,140.5214085,-5.36200949,24.92637177,28.09978943,21.90467377,Resident
Birds,Zenaida_macroura,91.4,40.5,30,111.4,Zenaida_macroura,-99.34666237,39.58659964,11.19497986,28.46677551,-5.381798553,Short Migrants
Birds,Aceros_plicatus,1965,40.1,16,929.7,Rhyticeros_plicatus,141.2057689,-5.20306048,25.12948456,28.07209167,22.30995178,Resident
Birds,Dacelo_novaeguineae,336,37,20,192.2,Dacelo_novaeguineae,142.7781578,-29.08737293,19.16202545,30.4004303,7.777006531,Resident
Birds,Phoeniculus_purpureus,72.19,39.3,23.1,113.8,Phoeniculus_purpureus,20.5956325,-2.75100654,23.93525848,33.50973511,14.21230011,Resident
Birds,Todus_mexicanus,6.3,36.7,29,19.6,Todus_mexicanus,-66.47586937,18.22758554,25.49450226,27.54240417,23.38884125,Resident
Birds,Guira_guira,140,40,27,185.9,Guira_guira,-53.67814502,-20.33933608,22.29254608,30.18745422,13.87271118,Resident
Birds,Daptrius_ater,362,39.1,19.5,206.5,Daptrius_ater,-62.73807974,-4.12693381,24.84510345,29.58930054,20.68265991,Resident
Birds,Falco_rupicoloides,214,40,15,247.5,Falco_rupicoloides,25.43030065,-18.04172249,20.67472076,31.37329407,8.016874695,Resident
Birds,Falco_sparverius,116,40.2,25,113.8,Falco_sparverius,-87.82847325,21.83459149,11.89092026,26.49250488,-2.312990761,Long Migrants
Birds,Alectoris_chukar,475,40.7,24,337.5,Alectoris_chukar,62.12056768,39.51044024,8.061357117,27.845578,-12.16485596,Resident
Birds,Callipepla_gambelii,125.5,40,34,130,Callipepla_gambelii,-111.9532431,33.00421662,18.49159393,35.32555542,2.427705002,Resident
Birds,Coturnix_chinensis,44.9,39,27,63.1,Synoicus_chinensis,108.9745656,8.65026174,23.75415497,30.89021606,15.41400909,Resident
Birds,Coturnix_coturnix,97,41.8,16,153.4,Coturnix_coturnix,52.17151982,44.83688575,7.196600342,25.79292908,-10.59352188,Long Migrants
Birds,Coturnix_japonica,166,39.5,25,255.7,Coturnix_japonica,117.3679257,49.23433481,0.573225021,23.50124817,-24.90186615,Long Migrants
Birds,Coturnix_pectoralis,95.8,41.6,27,109.5,Coturnix_pectoralis,134.6459732,-27.25474393,21.29577484,33.48850708,7.956201935,Resident
Birds,Lagopus_leucura,326,39.9,6,406.3,Lagopus_leucura,-129.6536698,56.92714207,-0.355868244,17.15126801,-15.78627167,Resident
Birds,Leipoa_ocellata,1390,39.7,22,691.2,Leipoa_ocellata,128.795413,-30.15891591,19.16326904,31.87529907,6.717757416,Resident
Birds,Syrmaticus_humiae,398.83,40.36,24.5,773.9,Syrmaticus_humiae,99.67520995,23.70954899,18.03597412,26.24138184,5.846533966,Resident
