"","Class","Species","Activity","LogM","LogMR","Ta","MR","M","Applied.stress","No","Dataset","Respiration","Habitat","Habitat2","Respiration2","Individual","bmkleur","Tkleur"
"667","fish","Genyagnus monopterygius","RMR",2.14301480025409,0.330535521090558,17,2.1406,138.999999999998,"non.restbase",649,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 139",2,2
"668","fish","Genyagnus monopterygius","RMR",2.2148438480477,0.0599418880619547,17,1.148,164.000000000001,"non.restbase",650,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 164",2,2
"669","fish","Genyagnus monopterygius","RMR",2.2148438480477,0.173885240368791,17,1.4924,164.000000000001,"non.restbase",651,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 164",2,2
"670","fish","Genyagnus monopterygius","RMR",2.2148438480477,0.26406187071788,17,1.8368,164.000000000001,"non.restbase",652,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 164",2,2
"671","fish","Genyagnus monopterygius","RMR",2.2148438480477,0.315214393165261,17,2.0664,164.000000000001,"non.restbase",653,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 164",2,2
"672","fish","Genyagnus monopterygius","RMR",2.2148438480477,0.338695489014784,17,2.1812,164.000000000001,"non.restbase",654,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 164",2,2
"673","fish","Genyagnus monopterygius","RMR",2.2148438480477,0.360971883725936,17,2.296,164.000000000001,"non.restbase",655,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 164",2,2
"677","fish","Genyagnus monopterygius","RMR",2.2148438480477,0.382161182795874,17,2.4108,164.000000000001,"non.restbase",659,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 164",2,2
"679","fish","Genyagnus monopterygius","RMR",2.26007138798507,0.335618349377606,17,2.1658,181.999999999998,"non.restbase",661,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 182",2,2
"680","fish","Genyagnus monopterygius","RMR",2.36361197989214,0.463982525009707,17,2.9106,230.999999999998,"non.restbase",662,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 231",2,2
"681","fish","Genyagnus monopterygius","RMR",2.37657695705651,0.564097677892975,17,3.6652,237.999999999999,"non.restbase",663,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 238",2,2
"682","fish","Genyagnus monopterygius","RMR",2.44090908206522,0.516456043457749,17,3.2844,276.000000000001,"non.restbase",664,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Genyagnus monopterygius 276",2,2
"685","fish","Gillichthys mirabilis","RMR",-0.698970004336019,-1.70774392864352,15,0.0196000000000002,0.2,"non.restbase",666,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 0.2",1,2
"686","fish","Gillichthys mirabilis","RMR",-0.468521082957745,-1.63665130867724,15,0.0230860000000002,0.34,"non.restbase",667,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 0.34",1,2
"687","fish","Gillichthys mirabilis","RMR",-0.387216143280265,-1.53779672948337,15,0.0289869999999997,0.41,"non.restbase",668,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 0.41",1,2
"688","fish","Gillichthys mirabilis","RMR",-0.318758762624413,-1.55984687022644,15,0.0275519999999999,0.48,"non.restbase",669,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 0.48",1,2
"689","fish","Gillichthys mirabilis","RMR",-0.214670164989233,-1.31649368149156,15,0.0482509999999996,0.61,"non.restbase",670,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 0.61",1,2
"690","fish","Gillichthys mirabilis","RMR",-0.200659450546418,-1.56316972103391,15,0.0273419999999999,0.63,"non.restbase",671,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 0.63",1,2
"691","fish","Gillichthys mirabilis","RMR",-0.167491087293764,-1.38287379466089,15,0.0414119999999998,0.679999999999999,"non.restbase",672,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 0.68",1,2
"692","fish","Gillichthys mirabilis","RMR",-0.0409586076789064,-1.33852807123338,15,0.0458640000000001,0.91,"non.restbase",673,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 0.91",1,2
"693","fish","Gillichthys mirabilis","RMR",0.110589710299249,-1.1634986574057,15,0.0686280000000005,1.29,"non.restbase",674,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 1.29",1,2
"694","fish","Gillichthys mirabilis","RMR",0.255272505103306,-1.16723569505947,15,0.0680399999999998,1.8,"non.restbase",675,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 1.8",1,2
"695","fish","Gillichthys mirabilis","RMR",0.27415784926368,-0.983117019431622,15,0.103964,1.88,"non.restbase",676,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 1.88",1,2
"696","fish","Gillichthys mirabilis","RMR",0.324282455297693,-0.949805912407259,15,0.112252,2.11,"non.restbase",677,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 2.11",1,2
"697","fish","Gillichthys mirabilis","RMR",0.342422680822206,-0.925988553991055,15,0.11858,2.2,"non.restbase",678,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 2.2",1,2
"698","fish","Gillichthys mirabilis","RMR",0.380211241711606,-1.03432802877989,15,0.0924000000000007,2.4,"non.restbase",679,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 2.4",1,2
"699","fish","Gillichthys mirabilis","RMR",0.380211241711606,-0.96851074429025,15,0.10752,2.4,"non.restbase",680,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 2.4",1,2
"700","fish","Gillichthys mirabilis","RMR",0.460897842756548,-0.830681257108739,15,0.147679,2.89,"non.restbase",681,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 2.89",1,2
"701","fish","Gillichthys mirabilis","RMR",0.466867620354109,-0.902704504620867,15,0.125111,2.93,"non.restbase",682,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 2.93",1,2
"702","fish","Gillichthys mirabilis","RMR",0.466867620354109,-0.830701843200365,15,0.147672,2.93,"non.restbase",683,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 2.93",1,2
"703","fish","Gillichthys mirabilis","RMR",0.510545010206612,-1.00090427329294,15,0.0997920000000008,3.24,"non.restbase",684,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 3.24",1,2
"704","fish","Gillichthys mirabilis","RMR",0.617000341120899,-0.805507859041876,15,0.156492,4.14,"non.restbase",685,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 4.14",1,2
"705","fish","Gillichthys mirabilis","RMR",0.673941998634088,-0.710107949709511,15,0.194936,4.72,"non.restbase",686,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Gillichthys mirabilis 4.72",1,2
"709","fish","Glossogobius giuris","RMR",0.204119982655925,-0.420582279126736,22,0.37968,1.6,"non.restbase",690,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 1.6",1,3
"710","fish","Glossogobius giuris","RMR",0.397940008672038,-0.302117091305195,22,0.49875,2.5,"non.restbase",691,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 2.5",1,3
"711","fish","Glossogobius giuris","RMR",0.57978359661681,-0.121800023321895,22,0.755440000000001,3.8,"non.restbase",692,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 3.8",1,3
"712","fish","Glossogobius giuris","RMR",0.662757831681574,-0.159705668388564,22,0.6923,4.6,"non.restbase",693,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 4.6",1,3
"713","fish","Glossogobius giuris","RMR",0.863322860120456,0.104620247230449,22,1.27239,7.3,"non.restbase",694,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 7.3",1,3
"714","fish","Glossogobius giuris","RMR",0.919078092376074,0.0905119933190821,22,1.23172,8.3,"non.restbase",695,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 8.3",1,3
"715","fish","Glossogobius giuris","RMR",1.00860017176192,0.136999440479724,22,1.37088,10.2000000000001,"non.restbase",696,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 10.2",2,3
"716","fish","Glossogobius giuris","RMR",1.04139268515823,0.10133457322018,22,1.2628,11.0000000000001,"non.restbase",697,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 11",2,3
"717","fish","Glossogobius giuris","RMR",1.07918124604762,0.167317334748176,22,1.47,11.9999999999999,"non.restbase",698,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 12",2,3
"718","fish","Glossogobius giuris","RMR",1.11058971029925,0.0628977199613742,25,1.15584,12.9,"non.restbase",699,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 12.9",2,3
"719","fish","Glossogobius giuris","RMR",1.11826472608948,0.115651110486793,25,1.305122,13.13,"non.restbase",700,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 13.13",2,3
"720","fish","Glossogobius giuris","RMR",1.12548126570059,0.146670564770532,25,1.40175,13.3499999999999,"non.restbase",701,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 13.35",2,3
"721","fish","Glossogobius giuris","RMR",1.13033376849501,0.160123239326862,22,1.44585,13.5000000000001,"non.restbase",702,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 13.5",2,3
"722","fish","Glossogobius giuris","RMR",1.13033376849501,0.230704313612569,25,1.701,13.5000000000001,"non.restbase",703,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 13.5",2,3
"723","fish","Glossogobius giuris","RMR",1.13861843389949,0.0943061842129983,25,1.242528,13.7599999999999,"non.restbase",704,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 13.76",2,3
"724","fish","Glossogobius giuris","RMR",1.15044940946088,0.0889691346373725,25,1.227352,14.14,"non.restbase",705,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 14.14",2,3
"725","fish","Glossogobius giuris","RMR",1.15136985024746,0.107057600560966,25,1.279551,14.17,"non.restbase",706,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 14.17",2,3
"726","fish","Glossogobius giuris","RMR",1.15533603746506,0.245946745293468,22,1.76176,14.2999999999999,"non.restbase",707,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 14.3",2,3
"727","fish","Glossogobius giuris","RMR",1.21748394421391,0.119486835564636,22,1.3167,16.5000000000001,"non.restbase",708,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 16.5",2,3
"728","fish","Glossogobius giuris","RMR",1.24797326636181,0.18998131938412,22,1.54875,17.7000000000001,"non.restbase",709,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 17.7",2,3
"729","fish","Glossogobius giuris","RMR",1.2718416065365,0.344826351164429,22,2.21221,18.7,"non.restbase",710,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 18.7",2,3
"730","fish","Glossogobius giuris","RMR",1.28555730900777,0.348139293235937,22,2.22915,19.2999999999998,"non.restbase",711,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 19.3",2,3
"731","fish","Glossogobius giuris","RMR",1.3096301674259,0.300856243118394,22,1.9992,20.4000000000001,"non.restbase",712,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 20.4",2,3
"732","fish","Glossogobius giuris","RMR",1.3654879848909,0.296945855579905,22,1.98128,23.2,"non.restbase",713,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Glossogobius giuris 23.2",2,3
"744","fish","Heteropneustes fossilis","RMR",0.954242509439325,0.0893751608160997,26,1.2285,9,"non.restbase",725,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 9",1,3
"745","fish","Heteropneustes fossilis","RMR",1,0.0780941504064107,26,1.197,10,"non.restbase",726,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 10",2,3
"746","fish","Heteropneustes fossilis","RMR",1.17609125905568,0.145040940037024,26,1.3965,15,"non.restbase",727,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 15",2,3
"747","fish","Heteropneustes fossilis","RMR",1.20411998265592,0.163161374977018,26,1.456,15.9999999999998,"non.restbase",728,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 16",2,3
"748","fish","Heteropneustes fossilis","RMR",1.23044892137827,0.168968646554766,26,1.4756,16.9999999999999,"non.restbase",729,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 17",2,3
"749","fish","Heteropneustes fossilis","RMR",1.36172783601759,0.296730987471248,26,1.9803,22.9999999999998,"non.restbase",730,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 23",2,3
"750","fish","Heteropneustes fossilis","RMR",1.41497334797082,0.342856758301525,26,2.2022,26.0000000000001,"non.restbase",731,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 26",2,3
"751","fish","Heteropneustes fossilis","RMR",1.55630250076729,0.465858530008463,26,2.9232,36.0000000000002,"non.restbase",732,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 36",2,3
"752","fish","Heteropneustes fossilis","RMR",1.64345267648619,0.553008705727363,26,3.5728,44.0000000000003,"non.restbase",733,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 44",2,3
"753","fish","Heteropneustes fossilis","RMR",1.7481880270062,0.65019091835693,26,4.4688,56,"non.restbase",734,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 56",2,3
"754","fish","Heteropneustes fossilis","RMR",1.8750612633917,0.688642251959892,26,4.8825,75,"non.restbase",735,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Heteropneustes fossilis 75",2,3
"755","fish","Hippoglossoides platessoides","RMR",2.36361197989214,0.53092931464032,3.5,3.3957,230.999999999998,"non.restbase",736,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Hippoglossoides platessoides 231",2,1
"756","fish","Hippoglossoides platessoides","RMR",2.42813479402879,0.615655514865252,3.5,4.1272,268.000000000001,"non.restbase",737,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Hippoglossoides platessoides 268",2,1
"757","fish","Hippoglossoides platessoides","RMR",2.46834733041216,0.56871787552972,3.5,3.7044,294.000000000002,"non.restbase",738,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Hippoglossoides platessoides 294",2,1
"758","fish","Hippoglossoides platessoides","RMR",2.53655844257153,0.636928987689093,3.5,4.3344,344,"non.restbase",739,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Hippoglossoides platessoides 344",2,1
"759","fish","Hippoglossoides platessoides","RMR",2.5910646070265,0.66661156841903,3.5,4.641,390.000000000001,"non.restbase",740,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Hippoglossoides platessoides 390",2,1
"807","fish","Ictalurus punctatus","RMR",0.64640372622307,-0.332406974706992,23.5,0.46515,4.43,"non.restbase",788,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ictalurus punctatus 4.43",1,3
"808","fish","Ictalurus punctatus","RMR",0.729974285699556,0.0636230422142567,23.5,1.157772,5.37000000000001,"non.restbase",789,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ictalurus punctatus 5.37",1,3
"809","fish","Ictalurus punctatus","RMR",0.734799829588847,-0.407264905691724,23.5,0.391503,5.43,"non.restbase",790,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ictalurus punctatus 5.43",1,3
"810","fish","Ictalurus punctatus","RMR",0.826722520168992,0.112729642248467,23.5,1.296372,6.71,"non.restbase",791,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ictalurus punctatus 6.71",1,3
"811","fish","Ictalurus punctatus","RMR",0.859738566197147,-0.0546141455059966,23.5,0.881832,7.24,"non.restbase",792,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ictalurus punctatus 7.24",1,3
"812","fish","Ictalurus punctatus","RMR",0.860338006570994,-0.118472694359068,23.5,0.76125,7.25000000000001,"non.restbase",793,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ictalurus punctatus 7.25",1,3
"813","fish","Ictalurus punctatus","RMR",0.881384656770573,-0.260680078509998,23.5,0.548681,7.61,"non.restbase",794,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ictalurus punctatus 7.61",1,3
"814","fish","Ictalurus punctatus","RMR",0.917505509552547,0.122439031906692,23.5,1.325681,8.27,"non.restbase",795,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ictalurus punctatus 8.27",1,3
"815","fish","Ictalurus punctatus","RMR",2.91645394854993,1.38480127896208,18,24.2549999999999,825.000000000009,"non.restbase",796,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ictalurus punctatus 825",2,2
"824","fish","Kuhlia sandvicensis","RMR",1.12188798510368,-0.0885313027318934,23,0.815584,13.24,"non.restbase",803,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 13.24",2,3
"825","fish","Kuhlia sandvicensis","RMR",1.19506899646859,-0.0622058722267116,23,0.866551,15.67,"non.restbase",804,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 15.67",2,3
"826","fish","Kuhlia sandvicensis","RMR",1.21112054125805,-0.0804585586072379,23,0.830886,16.26,"non.restbase",805,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 16.26",2,3
"827","fish","Kuhlia sandvicensis","RMR",1.29247759366778,0.0513894860657575,23,1.125614,19.6099999999998,"non.restbase",806,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 19.61",2,3
"828","fish","Kuhlia sandvicensis","RMR",1.31281182621209,-0.00324104303639983,23,0.992565,20.5500000000001,"non.restbase",807,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 20.55",2,3
"829","fish","Kuhlia sandvicensis","RMR",1.41863268735407,0.102579818105578,23,1.266426,26.2200000000003,"non.restbase",808,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 26.22",2,3
"830","fish","Kuhlia sandvicensis","RMR",1.43901672838751,0.110189571102596,23,1.288812,27.4799999999998,"non.restbase",809,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 27.48",2,3
"831","fish","Kuhlia sandvicensis","RMR",1.463295609962,0.165726146407528,23,1.464624,29.0599999999998,"non.restbase",810,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 29.06",2,3
"832","fish","Kuhlia sandvicensis","RMR",1.56086269472746,0.198352424239975,23,1.578892,36.3799999999996,"non.restbase",811,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 36.38",2,3
"833","fish","Kuhlia sandvicensis","RMR",1.66661156841903,0.324622965076142,23,2.111655,46.41,"non.restbase",812,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 46.41",2,3
"834","fish","Kuhlia sandvicensis","RMR",1.67476931401543,0.34594215673051,23,2.217901,47.2900000000004,"non.restbase",813,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 47.29",2,3
"835","fish","Kuhlia sandvicensis","RMR",1.74795530690673,0.363905358563131,23,2.311561,55.97,"non.restbase",814,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Kuhlia sandvicensis 55.97",2,3
"836","fish","Labeo rohita","RMR",0.778151250383644,0.663851630511974,25,4.61160000000001,6,"non.restbase",815,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Labeo rohita 6",1,3
"837","fish","Labeo rohita","RMR",0.845098040014257,0.520784748713658,25,3.3173,7,"non.restbase",816,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Labeo rohita 7",1,3
"838","fish","Labeo rohita","RMR",0.929418925714293,0.520372160902278,25,3.31415,8.50000000000001,"non.restbase",817,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Labeo rohita 8.5",1,3
"839","fish","Labeo rohita","RMR",1.06069784035361,0.519637702243938,25,3.30855,11.5,"non.restbase",818,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Labeo rohita 11.5",2,3
"840","fish","Labeo rohita","RMR",1.06069784035361,0.52174593202427,25,3.32465,11.5,"non.restbase",819,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Labeo rohita 11.5",2,3
"843","fish","Lepomis gibbosus","RMR",1.65243974758942,0.150750301379021,20,1.41498,44.92,"non.restbase",821,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lepomis gibbosus 44.92",2,2
"844","fish","Lepomis macrochirus","RMR",2.07188200730613,0.921301421103025,25,8.3426,118.000000000001,"non.restbase",822,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lepomis macrochirus 118",2,3
"845","fish","Lepomis macrochirus","RMR",2.07188200730613,0.929817272025554,25,8.50779999999999,118.000000000001,"non.restbase",823,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lepomis macrochirus 118",2,3
"846","fish","Lepomis macrochirus","RMR",2.07188200730613,0.942285912585152,25,8.75559999999999,118.000000000001,"non.restbase",824,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lepomis macrochirus 118",2,3
"847","fish","Lepomis macrochirus","RMR",2.07188200730613,0.946363825005592,25,8.8382,118.000000000001,"non.restbase",825,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lepomis macrochirus 118",2,3
"848","fish","Leporinus fasciatus","RMR",0.59659709562646,-0.415290064105188,25,0.384335,3.95,"non.restbase",826,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Leporinus fasciatus 3.95",1,3
"849","fish","Leporinus fasciatus","RMR",0.880813592280791,-0.0726912433845004,30,0.84588,7.59999999999999,"non.restbase",827,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Leporinus fasciatus 7.6",1,3
"854","fish","Leuciscus idus","RMR",2.77815125038364,0.924279286061882,5,8.40000000000001,599.999999999995,"non.restbase",832,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Leuciscus idus 600",2,1
"855","fish","Leuciscus idus","RMR",2.77815125038364,1.20303288701471,10,15.96,599.999999999995,"non.restbase",833,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Leuciscus idus 600",2,1
"859","fish","Limanda limanda","RMR",2.37291200297011,0.68040804088332,10,4.79080000000001,236.000000000002,"non.restbase",837,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Limanda limanda 236",2,1
"860","fish","Limanda limanda","RMR",2.59769518592551,1.06604251633767,15,11.6424,395.999999999998,"non.restbase",838,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Limanda limanda 396",2,2
"861","fish","Limanda limanda","RMR",2.60205999132796,0.6232492903979,5,4.2,399.999999999998,"non.restbase",839,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Limanda limanda 400",2,1
"862","fish","Lipophrys pholis","RMR",-1.52287874528034,-1.81744269869509,16,0.0152249999999999,0.0299999999999998,"non.restbase",840,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.03",1,2
"863","fish","Lipophrys pholis","RMR",-1.22184874961636,-1.59142087459133,16,0.0256200000000001,0.0599999999999995,"non.restbase",841,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.06",1,2
"864","fish","Lipophrys pholis","RMR",-1.22184874961636,-1.51941821317083,16,0.0302400000000001,0.0599999999999995,"non.restbase",842,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.06",1,2
"865","fish","Lipophrys pholis","RMR",-0.744727494896694,-1.02341161429079,16,0.094752000000001,0.18,"non.restbase",843,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.18",1,2
"866","fish","Lipophrys pholis","RMR",-0.698970004336019,-1.21838821750685,16,0.06048,0.2,"non.restbase",844,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.2",1,2
"867","fish","Lipophrys pholis","RMR",-0.698970004336019,-1.21538270736712,16,0.0609000000000007,0.2,"non.restbase",845,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.2",1,2
"868","fish","Lipophrys pholis","RMR",-0.698970004336019,-1.16634300310713,16,0.0681799999999996,0.2,"non.restbase",846,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.2",1,2
"869","fish","Lipophrys pholis","RMR",-0.698970004336019,-1.04431224968649,16,0.0903000000000009,0.2,"non.restbase",847,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.2",1,2
"870","fish","Lipophrys pholis","RMR",-0.657577319177794,-0.929954741208657,16,0.117502,0.22,"non.restbase",848,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.22",1,2
"871","fish","Lipophrys pholis","RMR",-0.638272163982407,-1.13420928130372,16,0.0734159999999992,0.23,"non.restbase",849,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.23",1,2
"872","fish","Lipophrys pholis","RMR",-0.638272163982407,-1.06239184830176,16,0.0866180000000002,0.23,"non.restbase",850,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.23",1,2
"873","fish","Lipophrys pholis","RMR",-0.638272163982407,-1.01429965196541,16,0.0967610000000002,0.23,"non.restbase",851,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.23",1,2
"874","fish","Lipophrys pholis","RMR",-0.638272163982407,-0.941915775249075,16,0.11431,0.23,"non.restbase",852,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.23",1,2
"875","fish","Lipophrys pholis","RMR",-0.638272163982407,-0.917534186963982,16,0.120911,0.23,"non.restbase",853,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.23",1,2
"876","fish","Lipophrys pholis","RMR",-0.619788758288394,-1.14021344811341,16,0.0724079999999993,0.24,"non.restbase",854,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.24",1,2
"877","fish","Lipophrys pholis","RMR",-0.602059991327962,-1.05024416897695,16,0.0890749999999994,0.25,"non.restbase",855,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Lipophrys pholis 0.25",1,2
