"","ThermoMode","Group","ID","Lineage1.name","Lineage2.name","Lineage1.Mean.dS","Lineage2.Mean.dS","Lineage1.Mean.dN","Lineage2.Mean.dN","Lineage1.Mean.dNdS","Lineage2.Mean.dNdS","Lineage1.spp","Lineage2.spp","diff.dn.sd","diff.ds.sd","diff.dnds.sd","diff.dn","diff.ds","diff.dnds","diff.spp"
"37","Ectotherms","Amphibians",3,"Ambystomatidae+Dicamptodontidae","Salamandridae",0.105120666666667,0.111147090909091,0.00656957575757576,0.00707984848484849,0.0624920395331857,0.0636907312176708,36,126,0.0345382314127322,0.0297631824827929,0.026376955290661,0.0746974085896558,0.0557361235462072,0.0189612850434486,1.25276296849537
"38","Ectotherms","Amphibians",4,"Proteidae","Plethodontidae+Rhyacotritonidae+Amphiumidae",0.0782918666666667,0.1242966,0.00667833333333333,0.00737453333333333,0.0853160217007136,0.0593384102291731,8,498,0.0423916933918245,0.0186751074171457,0.0383051872885078,0.0985545068406346,0.462006071427182,-0.363451564586547,4.13115853534482
"39","Ectotherms","Amphibians",5,"Ascaphidae","Leiopelmatidae",0.057806,0.0519783333333333,0.00691166666666667,0.00643033333333333,0.119566596316415,0.123711802994838,2,3,NA,NA,NA,-0.0721844277925934,-0.106265611434127,0.0340811836415345,0.405465108108164
"40","Ectotherms","Amphibians",6,"Bombinatoridae","Alytidae",0.118983333333333,0.0915593333333333,0.00839633333333333,0.00645433333333333,0.0705673063454267,0.0704934505129643,10,12,NA,NA,NA,-0.263043362762287,-0.261996213422441,-0.00104714933984518,0.182321556793954
"41","Ectotherms","Amphibians",7,"Rhinophrynidae","Pipidae",0.10073,0.163480666666667,0.007609,0.0124533333333333,0.0755385684503127,0.0761761839320446,1,41,NA,NA,NA,0.492656567498144,0.484251066703976,0.00840550079416813,3.71357206670431
"42","Ectotherms","Amphibians",8,"Scaphiopodidae","Megophryidae+Pelobatidae+Pelodytidae",0.13371525,0.146251083333333,0.00919241666666666,0.0103100833333333,0.0687928779360714,0.0704448565993822,7,278,0.118184194552989,0.0827028923655556,0.0400026790451402,0.10977829966951,0.0858661806761267,0.0239121189933831,3.68171096463532
"43","Ectotherms","Amphibians",9,"Calyptocephalellidae","Myobatrachidae",0.0437056666666667,0.0825893333333333,0.00449333333333333,0.00691033333333333,0.102808941632282,0.0836710148203158,5,133,NA,NA,NA,0.430423059066815,0.636402770086827,-0.205979711020012,3.28091121578765
"44","Ectotherms","Amphibians",11,"Ceratophryidae","Hylidae",0.0376524583333333,0.0579741875,0.00320358333333333,0.00446091666666667,0.0851468654002691,0.0772284721228026,12,1020,0.175600196729642,0.141408044686033,0.123919929142329,0.318381398153747,0.422843195317596,-0.10446179716385,4.44265125649032
"45","Ectotherms","Amphibians",12,"Eleutherodactylidae","Brachycephalidae+Craugastoridae+Strabomantidae",0.0452958333333334,0.0424396666666667,0.004307,0.00451333333333333,0.0950857295704734,0.109671934043491,227,936,0.0488240969638002,0.195755833574616,0.244579930538415,0.0476017267854911,-0.0802443794939287,0.12784610627942,1.41666545899619
"46","Ectotherms","Amphibians",13,"Centrolenidae+Allophrynidae","Leptodactylidae",0.04813775,0.0635886666666667,0.00440666666666667,0.00482458333333334,0.0915439060511809,0.0767460863875405,163,224,0.0721365774670445,0.137385415331262,0.098510308973225,0.0872954040298062,0.267167413968366,-0.17987200993856,0.317895851048277
