"","Group","clade","dN","dS","dN.SD","dS.SD","diff.sp","ThermoMode"
"23","Fishes",24,-0.210107214873132,-0.0293657211327772,0.161095353768222,0.166454334929657,1.08780137256389,"Ectotherms"
"24","Fishes",25,0.53339143599418,0.162787107117928,0.482582098019247,0.263039445795991,0.22314355131421,"Ectotherms"
"25","Fishes",26,-0.322469567750209,-0.359687701869261,0.154747429404842,0.110840414976982,1.48115215457857,"Ectotherms"
"26","Fishes",27,0.33248622238719,0.0308126501804714,0.142251050548994,0.145883162933547,0.157185583522413,"Ectotherms"
"27","Fishes",28,0.044885198814703,-0.131171267925742,0.0796009810443467,0.0968419794271314,3.3499040872746,"Ectotherms"
"28","Fishes",29,-1.02210683032718,-0.390616136974798,0.1132312860836,0.104525559501537,3.27714473299218,"Ectotherms"
"29","Fishes",30,0.199378938200692,-0.56140879134114,0.671412739656249,0.159262786148252,1.63413052502447,"Ectotherms"
"30","Fishes",31,1.48046442550479,1.11692797610362,0.105609416199511,0.0717786625810147,0.356674943938732,"Ectotherms"
"31","Fishes",32,-0.218950814872063,-0.0464305496502876,0.18263763241014,0.137329772848949,2.32238772029023,"Ectotherms"
"32","Fishes",33,-0.0124382330519987,0.248405021004907,0.134813266104606,0.124397761405746,0.36044142673421,"Ectotherms"
"33","Fishes",34,0.0537706387024029,0.239379863983165,0.0958151904357264,0.114204591214,1.10758095865087,"Ectotherms"
"34","Fishes",35,-0.66495349197859,-0.317687049932558,NA,NA,2.29781181424139,"Ectotherms"
"35","Fishes",36,-0.797665440990532,-0.148394772420122,0.106675438415375,0.256091357660672,2.76362005225702,"Ectotherms"
"36","Fishes",37,-0.509266069948816,0.228473147619706,NA,NA,0.351397886837889,"Ectotherms"
"37","Fishes",38,0.917368219376346,0.0302337260460993,0.819174478070633,0.0954216761603204,1.89711998488588,"Ectotherms"
"38","Fishes",40,0.451214893258869,0.191022485137605,0.132833301846731,0.11737752512773,3.72166927693693,"Ectotherms"
"39","Fishes",41,0.12033803458885,0.347766998719307,NA,NA,1.50407739677627,"Ectotherms"
"40","Fishes",42,-0.74451141948629,-0.864783073068655,0.0634366228103126,0.0317922753119193,0.980829253011726,"Ectotherms"
"41","Fishes",44,0.455969148878116,0.616873400045464,0.264725278489263,0.623333479481244,1.02165124753198,"Ectotherms"
"42","Fishes",45,-0.13936914531909,-0.166345855431927,0.144284549824067,0.164124962787761,1.20397280432594,"Ectotherms"
"43","Fishes",46,-0.266173163656456,0.0315698512903335,NA,NA,3.23867845216438,"Ectotherms"
"44","Fishes",47,0.986147886873034,0.604899078218432,0.318180467794124,0.298368030035831,1.80828877117927,"Ectotherms"
"45","Fishes",48,1.4530763328365,0.929476836088706,0.385453327691214,0.433865057240691,3.40119738166216,"Ectotherms"
"46","Fishes",50,0.127045767357457,0.333571304631168,0.141985384478028,0.153878641541052,5.15617759938691,"Ectotherms"
