ThermoMode,Group,ID,Lineage1.Name,Lineage2.Name,Lineage1.Mean.dS,Lineage2.Mean.dS,Lineage1.Mean.dN,Lineage2.Mean.dN,Lineage1.Spp,Lineage2.Spp,Diff.dS,Diff.dS.SD,Diff.dN,Diff.dN.SD,Diff.Spp
Ectotherms,Fishes,83,Sparidae,Nemipteridae,0.496046607,0.68741202,0.013259747,0.01973244,142,67,-0.333602397,0.179291175,-0.400944261,0.142275517,0.751134438
Ectotherms,Fishes,84,Chaetodontidae,Leiognathidae,0.467424708,0.664797583,0.015546354,0.020565688,129,48,-0.347310935,0.252799332,-0.279447719,0.089940502,0.988611393
Ectotherms,Fishes,85,Haemulidae,Lutjanidae,0.282266938,0.302110867,0.005781595,0.004735619,137,133,-0.068553719,0.165382564,0.198149658,0.134340552,0.029631798
Ectotherms,Fishes,86,Monodactylidae,Emmelichthyidae+Dinopercidae,0.194947333,0.191915667,0.002954667,0.003710333,6,19,-0.015673394,NA,0.227735676,NA,1.15267951
Ectotherms,Fishes,87,Sillaginidae,Moronidae,0.656496488,0.499017321,0.013230941,0.0170115,33,6,0.272732236,0.184722872,-0.268885716,0.209676195,1.704748092
Ectotherms,Fishes,88,Pentacerotidae,Banjosidae,0.1419255,0.131970334,0.002564,0.002080833,13,1,0.051864749,0.267460821,0.207275495,0.055300561,2.564949357
Ectotherms,Fishes,89,Polyprionidae,Lateolabracidae,0.089510834,0.4846725,0.002695333,0.012224,5,2,-1.689914271,0.068257022,-1.513170991,0.074721095,0.916290732
Ectotherms,Fishes,90,Scombropidae,Epigonidae+Creediidae,0.135427667,0.210487667,0.003014667,0.004301667,3,59,0.440989387,NA,0.355513246,NA,2.978925155
Ectotherms,Fishes,91,Terapontidae,Kuhliidae,0.389577611,0.264265278,0.010964556,0.009061222,52,14,0.388924672,0.070494647,0.188810148,0.072102086,1.312186389
Ectotherms,Fishes,92,Girellidae,Kyphosidae,0.353913167,0.24909625,0.009903167,0.00525125,18,34,-0.367039621,0.221299154,-0.685494825,0.378528422,0.635988767
Ectotherms,Fishes,93,Centrarchidae,Elassomatidae,0.2684837,0.864669233,0.006126467,0.01853555,38,7,-1.185411201,0.199589374,-1.122038873,0.19400664,1.691676011
Ectotherms,Fishes,94,Sinipercidae,Percichthyidae,0.228525595,0.216327667,0.004236748,0.010199571,9,30,0.077023908,0.589213182,0.722591225,0.425999966,1.203972804
Ectotherms,Fishes,95,Percidae+Niphonidae,Trachinidae+Bembropidae,0.386767667,0.407276467,0.008109533,0.017848967,239,26,-0.058773939,0.114992798,-0.798673004,0.133646179,2.218367014
Ectotherms,Fishes,96,Channichthyidae,Bathydraconidae,0.088262944,0.061303645,0.006079467,0.005442078,25,17,0.362618633,0.152614977,0.143358604,0.310850691,0.385662481
Ectotherms,Fishes,97,Platycephalidae,Hoplichthyidae+Normanichthyidae,0.488301333,0.582787834,0.0198455,0.012591834,79,13,-0.231336345,0.352050767,0.432229885,0.330292944,1.804498495
Ectotherms,Fishes,98,Sebastidae,Scorpaenidae,0.271149189,0.435130811,0.006250311,0.0090775,135,215,0.472924033,0.163374119,0.345958065,0.18944693,0.46536325
Ectotherms,Fishes,99,Triglidae,Peristediidae,0.247210167,0.344021445,0.005411778,0.004615389,124,44,-0.331454526,0.027219356,0.157457639,0.082186457,1.036091932
Ectotherms,Fishes,100,Gasterosteidae,Hypoptychidae+Aulorhynchidae,0.284678645,0.376215267,0.006461333,0.009280433,18,3,-0.296698374,0.352885242,-0.319765136,0.420926573,1.791759469
Ectotherms,Fishes,101,Zoarcidae,Anarhichadidae,0.105443833,0.098193986,0.004395014,0.001921222,302,5,0.074608251,0.150206439,0.828990851,0.195836661,4.100989105
Ectotherms,Fishes,102,Liparidae,Cyclopteridae,0.3696095,0.1472415,0.009018667,0.006850167,399,27,0.918787491,0.120914556,0.27481014,0.020319045,2.693124551
Ectotherms,Fishes,103,Psychrolutidae,Cottidae+Jordaniidae,0.175549237,0.272890023,0.00362188,0.004068433,221,107,-0.459464673,0.341124203,-0.497330874,0.765064875,0.725333867
Ectotherms,Amphibians,1,Siphonopidae,Dermophiidae,0.675574667,1.304846667,0.019711333,0.027146333,28,14,-0.658277129,NA,-0.320048223,NA,0.693147181
Ectotherms,Amphibians,2,Hynobiidae,Cryptobranchidae,0.743180578,0.991927711,0.016226611,0.0264744,83,4,-0.280837692,0.284170903,-0.49113073,0.065336146,3.032546247
Ectotherms,Amphibians,3,Dicamptodontidae+Ambystomatidae,Salamandridae,0.919355932,0.913119966,0.018920368,0.019312671,36,126,0.011718211,0.207500003,0.018820128,0.110127277,1.252762968
Ectotherms,Amphibians,4,Plethodontidae,Amphiumidae,0.7961739,0.950930167,0.024125367,0.026890333,491,3,-0.192992134,0.157219422,-0.115941933,0.127958635,5.097831839
Ectotherms,Amphibians,5,Bombinatoridae,Alytidae,0.622008444,0.568154694,0.016679806,0.014767361,10,12,-0.093595076,0.196800109,-0.124529656,0.123634617,0.182321557
Ectotherms,Amphibians,7,Calyptocephalellidae,Myobatrachidae,0.517716667,0.607009167,0.017397833,0.021149667,5,133,0.169693821,0.287988948,0.197696974,0.125542649,3.280911216
Ectotherms,Amphibians,9,Mantellidae,Rhacophoridae,0.978956611,0.661664889,0.025433278,0.027758944,232,434,-0.401225713,0.174782064,0.087622642,0.028128553,0.626307162
Ectotherms,Reptiles,1,Alligatoridae,Crocodylidae+Gavialidae,0.732116771,1.090552438,0.026083029,0.027078025,8,18,0.390089856,0.159506862,0.043216121,0.098504125,0.810930216
Ectotherms,Reptiles,3,Trionychidae,Carettochelyidae,0.723657333,1.148054567,0.019978667,0.0268267,33,1,-0.49368955,0.148245995,-0.300351416,0.126921743,3.496507561
Ectotherms,Reptiles,4,Dermochelyidae,Cheloniidae,0.210012889,0.175192278,0.005592222,0.006038111,1,6,-0.186692712,0.151804732,0.061740228,0.210855251,1.791759469
