"ECO_CODE","Lat","Lon","AnnualTemp"
40103,2.19781883298451,115.076314119,22.7155959898782
40104,0.363186566328443,113.048790028,26.8415336359463
40105,26.846308366,93.18051879,23.801558722226
10702,-24.4974931953,148.848257526,20.7511144442846
50506,52.0502553105,-126.259178594,4.20236034801194
51108,68.2307878519,-149.065714023,-11.9265930411069
10104,-3.43070822034,126.638769356,23.9007772795217
61304,-8.65121734426,-39.8610611817,24.525001443228
60106,-4.20438011899,-40.0910155665,23.6507857142857
80503,57.1785032578,-4.20618350426,6.16024148339802
50801,37.5501715803,-120.74792427,16.554656135667
51201,32.9900758663,-117.14496238,15.8327353182628
51202,37.2942583399,-121.111102131,14.549381277281
51203,34.9624571275,-119.114223101,12.5867957746479
30103,6.46696759943372,11.0857390896,21.8030364190886
60703,-19.0970115651,-43.8719646282,18.8587884167993
50802,53.0727983916,-108.768164539,1.32402922002962
81203,28.1968417996,-16.5936134517,16.6782636148382
80406,42.6822367529,-6.04017001859,11.8680757449178
10801,-44.611809275,170.669260812,9.23098277822718
30201,15.8846370388,-23.9163884833,21.8197870452529
10703,-13.9166183818,142.956819538,26.056854948683
60107,0.749324198953112,-71.9905027974,26.1722740387529
40106,12.1363158767,103.128236106,26.1223935068144
61305,15.3467238915,-62.7073154924,26.030431131019
11301,-24.5234006665,114.587111181,23.4600244435199
70101,6.65178631609414,157.877073297,26.7045602605863
80504,47.9721823644,23.2461316307,6.26095785528706
10704,-17.4579395891,139.204016139,26.3113938562383
50507,49.8947058919,-121.948558056,2.06879619789117
80407,37.3093326433,51.3513472952,12.8578889329434
81308,46.3190039048,49.9345679447,9.94273075422857
60108,9.06117120979966,-72.2194151332,26.9714232668672
60207,4.76614970207013,-76.0523490623,23.7482899022801
60109,4.88449234805441,-75.9608776016,18.115404950733
80408,41.9327391887,44.2539221811,5.86708041399778
60110,13.364618312,-82.1539430737,26.35
80409,53.6316285611,-4.14589285498,8.73007307210841
81309,33.2234596423,65.7495943162,10.0005017980237
31401,3.40181573929752,7.12181098522895,26.4997759605691
60111,14.3375558498,-85.6681182556,24.8258533191075
60209,13.2731012061,-87.4874398815,25.8422329438186
60112,14.6904035849,-89.062123163,17.8946990957281
60303,14.7265450152,-88.935101908,21.0882991259211
80803,38.7361634251,33.0361625031,11.3365425989673
80410,38.7736533551,33.841884218,9.76752996462326
50508,44.8909638107,-122.168067858,6.78183752863514
