"ECO_CODE","Lat","Lon"
20161,-17.4895867649,-151.340738506
20135,-6.45868533713,158.194080884
20136,-9.81208576859,152.232082062
20207,-33.3876555778,136.652091644
20114,13.6273372729,114.726597939
20027,42.526979031,-6.4475754618
20220,-54.3434484632,-37.2381168508
20104,7.02734807924851,80.4128718988
20121,23.6445171959,127.549269798
20221,-60.6912866869,-45.2571573822
20219,-57.9453452197,-27.0912492322
20222,-60.7948751578,-57.4084232389
20099,-23.0140324712,48.3608226973
20137,-11.470469061,148.435150702
20180,-24.6510627643,-46.4257983627
25059,30.0906405794,-117.78436511
20066,10.8211820257,-68.2964843085
20113,23.7259868231,114.241602381
20038,46.3332640927,-50.7230317868
20069,21.6709814521,-92.9396535177
20200,-46.1179586773,168.084597527
20088,16.7932509344,40.8144665808
